Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2022-07-19,44,11.406764030456543,1615.087188299442,,,0.37017943010590515,1.3732004165649414,0.2719799280166626,2907,,,,,148033,
2022-07-20,75,155.95674180984497,2287.8992722034454,18.0,18,0.37824330887920327,1.384867548942566,0.24572569131851196,4098,,,,1118038,847070,
2022-07-21,220,147.88426399230957,4990.6433198452,,,0.42018040632154263,1.224331021308899,0.2510583996772766,8348,,,,,794277,96999
2022-07-22,74,197.31283378601074,1641.5473564267159,27.0,27,0.33628612113832484,0.603240966796875,0.2719799280166626,2858,,,,1687143,217252,
2022-07-23,54,69.44585132598877,1878.5363743901253,,,0.3553394099125847,1.1809872388839722,0.2615191638469696,3461,,,,,537908,
2022-07-24,43,96.92732620239258,1362.1080976724625,9.0,9,0.33251662074584504,1.056007742881775,0.2615191638469696,2602,,,,600000,626310,
2022-07-25,28,43.21057903766632,977.3328536768336,,,0.3178537769248803,1.1270614862442017,0.2615191638469696,1818,,,,,287255,
2022-07-26,31,148.43069744110107,1184.4438265542608,,,0.33707588442434444,1.4564249515533447,0.2510583996772766,2270,,,,,1393527,
2022-07-27,134,299.60949087142944,3063.438901782036,44.0,44,0.420938392015668,1.166280746459961,0.2510583996772766,5199,,,,2906582,476770,
2022-07-28,34,102.31399917602539,1391.772717833519,1.0,1,0.34974772452577957,1.5646841526031494,0.2510583996772766,2570,,,,,660000,
2022-07-29,76,335.43156242370605,2691.5214142799377,,,0.3533668875878248,1.2678446769714355,0.2510583996772766,4809,,,,,,
2022-07-30,247,439.52230179309845,10052.118418693542,30.0,30,0.45971409498061777,1.7803725004196167,0.2510583996772766,15985,,,,,2213912,
2022-07-31,221,341.54321122169495,9476.073249101639,11.0,11,0.4131267808530006,1.3471494913101196,0.2510583996772766,15168,,,,,4432430,
2022-08-01,105,453.92605010420084,5176.645370006561,12.0,12,0.3829714411397074,1.3226344585418701,0.2510583996772766,9044,,,,,4498439,
2022-08-02,17,66.74883270263672,934.5922133922577,,,0.5503373215642234,1.033224105834961,0.2552492618560791,2003,,,,,866243,
2022-08-03,139,460.5291085243225,8032.695432186127,52.0,52,0.4138377097395839,1.6405029296875,0.2510583996772766,13012,,,,,5723661,
2022-08-04,93,232.53356957435608,4090.581070482731,2.0,2,0.43649463422512247,1.2667454481124878,0.2510583996772766,7194,,,,,2611785,
2022-08-05,105,200.8524875640869,4567.334561705589,4.0,4,0.3990392991178695,1.408471703529358,0.24038389325141907,8259,,,,,2023864,
2022-08-06,31,32.60013008117676,1682.6913028359413,,,0.3566103881631352,1.284477710723877,0.25078052282333374,3676,,,,,231679,96973
2022-08-07,8,396.79010009765625,509.47169065475464,,,0.33126026315701934,1.00735342502594,0.2510583996772766,992,80.0,80.0,80.0,,668193,
